text,age at death
מבת שש שנה,6
מבת חמש שנים,5
מבן חמשה וארבעים,45
מבין שלושים וחמשה שנים,35
בן שלושים ושבע שנים,37
מיבן שלושי ושש שנה,36
מבן ששים שנה,60
מבין שלש ועשרים שנה,23
מבת ששים ושלוש שנה,63
ושנותיו ששים ושלשה,63
מבת שלשים שנה,30
מבן ארבעה שנה,4
מבן חמשים שנה,50
מבן שבעים וארבעה שנים,74
מבן שלושים שנה,30
בן שלש עשרה שנה,13
מבת עשרים ואחד שנה,21
שנותיו תשעים שנה,90
בין ארבעים ושתים שנה,42
מבן שמונה עשרה שנה,18
מבן שישים ושמונה שנים,68
ימי חייה היו שבע עשר שנה,17
מבן ארבעים ושמונה שנה,48
מבן עשרים וחמש שנים,25
בת ששים ושתים שנה,62
חי ארבע וחמשים שנה,45
בת נ'ו' שנה,56
שחיה ארבעים ושתים שנה,42
מבן שש עשרה שנה,16
מבת שש שנים,6
